FMG Training (Long List) / Sample,Type,Magnetite/Hematite,"Fe-Carbonates Mix (Ca, Si, Al, Mn, Mg)",Quartz,Stilpnomelane,Chlorite + Clay Minerals,Other Micas,K-Feldspar,Albite,Zircon,Calcite,Ankerite/Dolomite,Apatite,Monazite,Fluorite,Pyrite,Chalcopyrite,Pyrrhotite,Baryte,Ilmenite,Chromite,Rutile,Others,Total
84 - GVRD0269 Comp 5,Tails,3.34066364,12.86003398,62.15003445,0.17667659,16.97672516,0.00928863,2.03568726,0.0018772,0,0.00022019,0.00476184,0.99712348,0.04442518,0,0.35448249,0,0.05473699,0,0.03381821,0.01977727,0.11809856,0.8215689,100
85 - GVRD0269 Comp 6,Tails,7.10737681,10.80573353,62.18106601,0.40742174,9.27116132,0.08270672,5.14789054,0.00685735,0,0.0000615,0.88159028,1.61668875,0.04484221,0,0.23246646,0.00015885,0.03668937,0,0.00614114,0.00922488,0.05754675,2.10437577,100
86 - GVRD0269 Comp 7,Tails,2.51687593,15.52506192,59.04237634,0.41295205,19.54488274,0.00119006,0.28074272,0.0115861,0,0.00008684,0.00540106,1.2952742,0.04610598,0,0.37487063,0.00026918,0.05195478,0,0.0918851,0.03951117,0.07211269,0.68686051,100
93 - GVRD0267 Comp 4,Tails,9.96032148,16.15661954,56.42243447,0.37217606,11.78715947,0.0665832,0.37708223,0.22408958,0,0,0.37606397,0.8876644,0.02068227,0,0.14596301,0.00036983,0.04409305,0,0.00338036,0.0049927,0.06985665,3.08046772,100
94 - GVRD0267 Comp 5,Tails,8.68735526,16.37839794,55.20387337,0.26490814,14.33768933,0.07005791,0.32382611,0.03735858,0,0,0.60060937,0.82626415,0.02539326,0,0.34168496,0.00040098,0.06720959,0,0.00074221,0.02413472,0.10437459,2.70571952,100
95 - GVRD0267 Comp 6,Tails,4.70526733,14.57090582,63.49376701,0.16804531,12.19187626,0.37326418,0.6154561,0.06903134,0,0.00240505,0.85034246,0.88853134,0.03902193,0,0.13623919,0.00063295,0.02350576,0,0.00126456,0.01224459,0.05657628,1.80162252,100
96 - GVRD0267 Comp 7,Tails,16.36569452,14.205115,51.70819767,0.48472684,11.79483032,0.07561077,0.3248245,0.04106832,0,0,0.42941953,0.98774796,0.02724444,0,0.19062015,0,0.11196892,0,0.00269606,0.01195912,0.0520273,3.18624856,100
97 - GVRD0267 Comp 8,Tails,5.72834072,18.92031371,60.37906622,0.23148154,10.1982359,0.08295783,0.85276886,0.00594903,0,0,0.66371228,0.98428158,0.01772358,0,0.20367486,0.00013369,0.04932447,0,0.00205332,0.01671135,0.07323283,1.59003823,100
98 - GVRD0267 Comp 9,Tails,2.49297899,18.22142791,61.20312493,0.22397335,13.22666917,0.06818808,1.40796697,0.00613177,0,0.00011384,0.66898612,1.04176288,0.03695625,0,0.19127201,0.00052928,0.05296235,0.00005377,0.00702447,0.00761521,0.09064135,1.0516213,100
107 - GVRD0268 Comp 2,Tails,9.65535513,14.62275733,61.87782548,0.2828384,8.40958066,0.0958597,1.86802902,0.04062542,0,0,0.03942406,1.09272321,0.02866728,0,0.11359025,0.00030334,0.01793871,0,0.00293695,0.01332528,0.04261896,1.79560081,100
108 - GVRD0268 Comp 3,Tails,6.72899546,19.25899401,60.54805758,0.13621348,8.55733834,0.05074107,1.79336099,0.01231862,0,0.0073451,0.00698825,1.27875847,0.0285023,0,0.49291032,0,0.06997982,0,0.00070801,0.00577246,0.0569578,0.96605793,100
109 - GVRD0268 Comp 4,Tails,1.39314431,19.73685564,56.82673965,0.1637755,19.85031857,0.00157609,0.07884061,0.0016644,0,0,0.00247137,0.89277087,0.04655536,0,0.24842962,0,0.04323317,0.00064135,0.06634639,0.03108343,0.10278603,0.51276762,100
110 - GVRD0268 Comp 5,Tails,3.2505294,12.40374666,67.25987115,0.19177127,13.72725804,0.03669216,0.73443524,0.00943629,0,0,0.00241543,0.84227017,0.02909981,0,0.22736305,0,0.04379653,0,0.01220711,0.01389588,0.08247485,1.13273698,100
111 - GVRD0268 Comp 6,Tails,10.34331032,10.83121757,64.27650256,0.32155151,8.510414,0.08472392,1.58663168,0.01332291,0,0,0.00412951,0.89236195,0.0234116,0,0.16790315,0,0.0256796,0,0.00047752,0.00349832,0.03263237,2.88223153,100
112 - GVRD0268 Comp 7,Tails,13.43423896,8.60192559,63.32278034,0.30578209,8.29703966,0.09879461,1.71361172,0.00642174,0,0,0.04312058,1.11126898,0.02867565,0,0.15043321,0,0.02588365,0,0.00189131,0.00407467,0.02302342,2.83103381,100
113 - GVRD0268 Comp 8,Tails,10.53417003,7.33074624,66.98286184,0.24219374,7.45641538,0.07945871,1.7352278,0.00528066,0,0,1.52599591,1.38321306,0.03066025,0,0.06092208,0,0.00953785,0,0.00103467,0.00315115,0.02323936,2.59589127,100
114 - GVRD0268 Comp 9,Tails,13.73564631,9.81077657,61.88065176,0.17315627,8.57568878,0.05875226,0.93626067,0.06560504,0,0.00003363,1.17021319,1.21534381,0.03141326,0,0.13336796,0,0.03101554,0.00133437,0.00187447,0.01587913,0.02095706,2.14202992,100
1 - NSRD0801 Comp 3 Mags,Mags,98.38626718,0.09909621,0.87066262,0.02637912,0.14701711,0.00116089,0.28716953,0.00120551,0,0,0.0148941,0.00824411,0.02307844,0,0.00192451,0,0.00199133,0,0.00553896,0.0396629,0.00789374,0.07781375,100
2 - NSRD0801 Comp 4 Mags,Mags,98.26711727,0.11890577,0.80336361,0.02991594,0.1645084,0.06143007,0.2309276,0.0006457,0,0,0.04244347,0.01492253,0.02860132,0,0.00156397,0,0.00431429,0,0.02716818,0.04322729,0.01352325,0.14742133,100
3 - NSRD0801 Comp 5 Mags,Mags,98.18833429,0.17451611,0.9715719,0.06304378,0.18776933,0.00092554,0.14138439,0,0,0.00019981,0.02130927,0.01477685,0.02046004,0,0.00016161,0,0.00850539,0,0.00106577,0.03548019,0.00824507,0.16225068,100
4 - NSRD0801 Comp 6 Mags,Mags,97.48300556,0.29038278,1.03163395,0.22621468,0.45831114,0.0015224,0.12050863,0,0,0,0.04249822,0.01847217,0.01828471,0,0.00140476,0,0.00183456,0,0.0056152,0.13253894,0.01298912,0.15478317,100
5 - NSRD0801 Comp 7 Mags,Mags,97.71545438,0.18365392,1.14437985,0.21108277,0.39122785,0.00063125,0.06980669,0,0,0,0.02313531,0.01904773,0.02906433,0,0.00122817,0,0.00303146,0,0.00599754,0.06113291,0.01823262,0.12289322,100
6 - NSRD0801 Comp 8 Mags,Mags,97.98882345,0.19869024,0.89018964,0.23047683,0.28848337,0.00216953,0.12615985,0,0,0,0.02751656,0.0312429,0.02204156,0,0.00297176,0,0.00219923,0,0.00889442,0.04120082,0.00691119,0.13202864,100
13 - NSRD0800 Comp 4,Mags,96.58436582,0.18835924,2.17601753,0.04997942,0.28089638,0.00284202,0.41285697,0.01950174,0,0,0.00912489,0.0458486,0.03334005,0,0.00035252,0,0.00016113,0,0.00085401,0.04152429,0.00901402,0.14496138,100
14 - NSRD0800 Comp 5,Mags,96.48983244,0.17942494,2.04891994,0.11955359,0.439129,0.00407136,0.3393956,0.00012262,0,0.00018536,0.04962127,0.02575299,0.0171071,0,0.00393182,0,0.00215992,0,0.00633798,0.09773401,0.00645656,0.1702635,100
15 - NSRD0800 Comp 6,Mags,96.38052632,0.16180744,2.00802702,0.20150508,0.64086245,0.0040354,0.23040903,0.00013614,0,0,0.01201673,0.02007776,0.02226429,0,0.00741059,0,0.00704426,0,0.04726907,0.13703697,0.01357397,0.10599749,100
16 - NSRD0800 Comp 8,Mags,96.42577452,0.31634982,1.74078051,0.22511629,0.69132506,0.00375839,0.15577617,0.00020169,0,0,0.00855096,0.01522849,0.03661858,0,0.00067494,0,0.00467163,0,0.00879314,0.25052875,0.01737281,0.09847826,100
17 - NSRD0800 Comp 11,Mags,96.91220709,0.14224414,1.74057522,0.09036221,0.37856365,0.01686169,0.40408826,0.00499675,0,0,0.01173357,0.01233692,0.0225385,0,0.00718747,0,0.00118933,0,0.00383781,0.06425158,0.015071,0.17195482,100
18 - NSRD0800 Comp 15,Mags,96.99954811,0.13537562,1.43152964,0.07676246,0.29821275,0.00368812,0.62356876,0.00840979,0,0,0.07886395,0.02168563,0.02297788,0,0.00969577,0,0.00452942,0,0.00211261,0.07201048,0.00990981,0.20111919,100
25 - NSRD0799 Comp 5,Mags,95.90158408,0.18780066,2.32777346,0.05324443,0.22316467,0.00623671,0.79553572,0.07523354,0,0,0.02024602,0.01729221,0.02759819,0,0.00246078,0,0.00300574,0,0.00331191,0.14734593,0.02350617,0.18465979,100
26 - NSRD0799 Comp 6,Mags,95.97116852,0.20564828,2.24620921,0.06174598,0.27618589,0.00258669,0.75359202,0.10786672,0,0,0.05477411,0.01929847,0.02668693,0,0.00398982,0,0.00079733,0,0.00344417,0.06710625,0.02284194,0.17605767,100
27 - NSRD0799 Comp 10,Mags,96.87665778,0.12639212,2.04912837,0.06168874,0.37118085,0.00124041,0.25899173,0.00624032,0,0,0.01549381,0.02323864,0.03579663,0,0.00916191,0,0.00247181,0,0.00218947,0.0298662,0.01647302,0.11378819,100
28 - NSRD0799 Comp 12,Mags,94.41985473,0.18258492,3.21350705,0.15883992,0.32935435,0.00667853,1.14438843,0.13574644,0,0,0.02641426,0.02530682,0.02772766,0,0.01366003,0,0.00102571,0,0.00041947,0.05909191,0.0162109,0.23918888,100
29 - NSRD0799 Comp 13,Mags,96.08286738,0.17083547,2.32191924,0.08942689,0.34478598,0.00240088,0.67563388,0.01298529,0,0,0.01006971,0.01849222,0.02576761,0,0.00351915,0,0.00113228,0,0.00696429,0.06639681,0.01114069,0.15566223,100
30 - NSRD0799 Comp 14,Mags,96.01558622,0.20097213,2.13503986,0.19246307,0.62592225,0.00346497,0.42440152,0,0,0,0.0090043,0.02822671,0.03458805,0,0.00726778,0,0.00199139,0,0.01031728,0.13619757,0.01671515,0.15784174,100
31 - NSRD0799 Comp 16,Mags,96.28098095,0.27918897,1.65458878,0.23518991,0.66018439,0.00667194,0.29664927,0.00011071,0,0,0.02216255,0.01291085,0.0360008,0,0.00283671,0,0.00274806,0,0.02447142,0.22697615,0.01443835,0.24389019,100
32 - NSRD0799 Comp 17,Mags,95.76800041,0.22652816,2.25094435,0.17951933,0.6470998,0.00647326,0.49923279,0.0000637,0,0,0.01932753,0.0182652,0.02596551,0,0.01981353,0,0.00189295,0,0.0110355,0.11449258,0.01443136,0.19691403,100
41 - NSRD0798 Comp 6,Mags,93.27985002,0.46138716,4.35558558,0.79682448,0.50897348,0.000183,0.21645852,0,0,0,0.13362314,0.04394744,0.01235817,0,0.00240487,0,0.00275522,0,0.00529636,0.02519137,0.00260969,0.15255149,100
42 - NSRD0798 Comp 7,Mags,92.26277698,0.71059362,3.97615825,1.71873542,0.89101121,0.00046992,0.01860035,0,0,0,0.05102076,0.03766735,0.02329678,0,0.00518244,0,0.00399857,0,0.00537071,0.03977136,0.00947839,0.24586788,100
43 - NSRD0798 Comp 8,Mags,92.29419043,0.76226904,3.76993594,1.88811135,0.82484169,0,0.00651806,0.00012763,0,0,0.05168468,0.04663827,0.01158223,0,0.00634548,0,0.01228592,0,0.00567161,0.08145951,0.0048446,0.23349354,100
44 - NSRD0798 Comp 9,Mags,91.73138793,0.80713128,3.93131343,2.23748936,0.83193231,0,0.00524029,0.00020503,0,0,0.05885063,0.07151203,0.02518663,0,0.01103954,0,0.00394249,0,0.00709568,0.04418533,0.00981999,0.22366805,100
45 - NSRD0798 Comp 10,Mags,97.30607642,0.21370156,1.24356808,0.66074762,0.30485123,0,0.00387883,0,0,0,0.04253762,0.0200261,0.01088436,0,0.00748724,0,0.00281372,0,0.00358394,0.05143976,0.0035351,0.12486843,100
51 - NSRD0797 Comp 3,Mags,96.54664324,0.65577031,1.96606641,0.13549062,0.43523972,0.00078218,0.01928969,0.00031798,0,0,0.00807417,0.0199779,0.01264971,0,0.00057329,0,0.00158815,0,0.00893635,0.02960094,0.01495824,0.1440411,100
52 - NSRD0797 Comp 4,Mags,96.23564426,0.32332457,2.56925056,0.23315308,0.30826408,0.00076639,0.05668075,0,0,0,0.00163634,0.05196987,0.02644318,0,0.00093195,0,0.00056798,0,0.00067539,0.0051942,0.01171675,0.17378065,100
53 - NSRD0797 Comp 8,Mags,95.31927244,0.35670503,3.07098624,0.4014098,0.53877306,0.00017588,0.03785649,0,0,0,0.00359853,0.0451588,0.01748567,0,0.00346002,0,0.00491838,0,0.00164778,0.01975676,0.01299852,0.1657966,100
54 - NSRD0797 Comp 9,Mags,95.08826699,0.2651576,3.52445848,0.29237833,0.38400587,0.00033852,0.14338576,0.00032447,0,0,0.0229808,0.07752552,0.02338905,0,0.00405679,0,0.00119984,0,0.00035971,0.01309632,0.01155901,0.14751695,100
55 - NSRD0797 Comp 13,Mags,95.75786805,0.11968311,2.99780739,0.2143592,0.11618033,0.00368624,0.49717492,0.00014775,0,0,0.01447364,0.0538392,0.02255078,0,0.00206468,0,0.00113248,0,0.00026618,0.01423088,0.00881269,0.17572247,100
56 - NSRD0797 Comp 14,Mags,93.16754733,0.52692746,3.69842112,1.06124929,1.06222874,0.00138821,0.14984237,0,0,0,0.00447644,0.05918592,0.02775833,0,0.00721683,0,0.00315174,0,0.00815776,0.03425569,0.01342204,0.17477072,100
63 - NSRD0796 Comp 2,Mags,97.5887809,0.38108733,1.57122626,0.00709824,0.1696914,0.00028324,0.10672678,0.00152632,0,0,0,0.01803716,0.01274265,0,0.00275239,0,0.00087812,0,0.00087016,0.01559647,0.00614272,0.11655986,100
64 - NSRD0796 Comp 3,Mags,96.83621322,0.40903773,2.01964796,0.01014826,0.23039368,0.00086042,0.29348501,0.00583635,0,0,0.00309535,0.02477246,0.01901746,0,0.0028698,0,0.00287856,0,0.0008449,0.01235133,0.01010979,0.11843772,100
