Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
7-44710251,,5,64,7,,19,,,1,,,,,4,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Tails,7-44710251
8-44710252,,2,61,9,2,24,,,1,,,,,,,1,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Tails,8-44710252
9-44710253,,1,66,7,3,21,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Tails,9-44710253
10-44710254,,1,56,8,2,32,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Tails,10-44710254
11-44710255,,1,49,4,2,40,,,0.5,,,,3,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Tails,11-44710255
12-44710256,,3,56,4,3,30,,,0.5,,,,3,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Tails,12-44710256
13-44710257,28,5,39,4,0.5,22,,,,,,0.5,0.5,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Feed,13-44710257
14-44710258,27,4,42,5,1,20,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Feed,14-44710258
15-44710259,26,4,41,6,2,21,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Feed,15-44710259
16-44710260,26,8,41,3,2,19,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Feed,16-44710260
17-44710261,30,4,42,3,2,19,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Feed,17-44710261
18-44710262,25,1,41,7,1,25,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Feed,18-44710262
19-44710263,,7,54,5,2,30,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Tails,19-44710263
20-44710264,,5,57,8,3,26,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Tails,20-44710264
21-44710265,,6,58,7,2,26,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Tails,21-44710265
22-44710266,,9,58,4,3,24,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Tails,22-44710266
23-44710267,,6,60,4,3,26,,,,,,1,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Tails,23-44710267
24-44710268,,2,56,8,2,32,,,,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Tails,24-44710268
25-44710269,31,9,42,4,,11,,,0.5,,,,,2,,,,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Feed,25-44710269
26-44710270,28,1,35,8,,20,,,0.5,,,,,,,7,,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Feed,26-44710270
27-44710271,30,1,39,7,,21,,,,,,,,,,2,,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Feed,27-44710271
28-44710272,35,1,40,6,,16,,,0.5,,,,,1,,,,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Feed,28-44710272
29-44710273,37,4,39,3,4,12,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Feed,29-44710273
30-44710274,38,5,37,3,5,11,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Feed,30-44710274
31-44710275,,7,65,7,,17,,,0.5,,,,,3,,,,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Tails,31-44710275
32-44710276,1,0.5,52,10,,28,,,0.5,,,,,,,8,,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Tails,32-44710276
33-44710277,0.5,0.5,55,11,,29,,,,,,,,,,4,,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Tails,33-44710277
34-44710278,0.5,1,62,12,,23,,,0.5,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Tails,34-44710278
35-44710279,0.5,6,64,4,6,18,,,0.5,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Tails,35-44710279
36-44710280,0.5,7,63,4,7,16,,,1,,,0.5,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Tails,36-44710280
37-44710282,84,,8,1,,4,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0797 Comp 3 -53um DTR Cons,37-44710282
38-44710283,87,,8,0.5,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 4 -53um DTR Cons,38-44710283
39-44710284,85,,9,1,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 8 -53um DTR Cons,39-44710284
40-44710285,85,,9,0.5,,2,,,,,,,,,,3,,,100,Tr,N9821XD21,NSRD0797 Comp 9 -53um DTR Cons,40-44710285
41-44710286,90,,7,,,1,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0797 Comp 13 -53um DTR Cons,41-44710286
42-44710287,83,,7,1,,3,,,,,,,,,,6,,,100,Tr,N9821XD21,NSRD0797 Comp 14 -53um DTR Cons,42-44710287
43-44710288,79,12,6,0.5,,1,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 5 -53um DTR Cons,43-44710288
44-44710289,93,0.5,6,,,,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 6 -53um DTR Cons,44-44710289
45-44710290,91,0.5,6,0.5,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 10 -53um DTR Cons,45-44710290
46-44710291,90,0.5,7,,,1,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 12 -53um DTR Cons,46-44710291
47-44710292,90,,7,0.5,,0.5,,,0.5,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0799 Comp 13 -53um DTR Cons,47-44710292
48-44710293,90,,6,1,,1,,,0.5,,,,,,,1,,,100,Tr,N9821XD21,NSRD0799 Comp 14 -53um DTR Cons,48-44710293
49-44710294,91,,4,2,,1,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0799 Comp 16 -53um DTR Cons,49-44710294
50-44710295,86,,7,2,,2,,,0.5,,,,,,,2,,,100,Tr,N9821XD21,NSRD0799 Comp 17 -53um DTR Cons,50-44710295
51-44710296,88,0.5,9,0.5,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 4 -53um DTR Cons,51-44710296
52-44710297,88,,7,2,,2,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 5 -53um DTR Cons,52-44710297
53-44710298,89,,7,2,,0.5,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 6 -53um DTR Cons,53-44710298
54-44710299,89,,6,2,,2,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 8 -53um DTR Cons,54-44710299
55-44710300,90,,6,2,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 11 -53um DTR Cons,55-44710300
56-44710301,93,,6,0.5,,,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 15 -53um DTR Cons,56-44710301
57-44710302,88,6,4,0.5,,0.5,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0801 Comp 3 -53um DTR Cons,57-44710302
58-44710303,94,0.5,4,0.5,,0.5,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0801 Comp 4 -53um DTR Cons,58-44710303
59-44710304,92,,5,1,,1,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 5 -53um DTR Cons,59-44710304
60-44710305,93,,3,0.5,,1,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 6 -53um DTR Cons,60-44710305
61-44710306,94,,4,0.5,,0.5,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 7 -53um DTR Cons,61-44710306
62-44710307,93,,3,0.5,,0.5,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0801 Comp 8 -53um DTR Cons,62-44710307
63-44710308,67,23,7,0.5,,2,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Cons,63-44710308
64-44710309,87,0.5,9,1,,2,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Cons,64-44710309
65-44710310,89,,8,0.5,,3,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Cons,65-44710310
66-44710311,86,,8,1,,4,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Cons,66-44710311
67-44710312,90,,6,,,4,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Cons,67-44710312
