Sample,BHID,Composite,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
44712680004,GVRD0268,Comp 5,-53um,FEED,25.6,33.18,38.18,1.729,0.074,0.521,0.394,0.092,0.097,2.27,0.015,0.018,0.001,0.001,0.002,-0.001,-0.001,0.002,0.002,0.013,0.006,-0.001,-0.001,0.002,0.004,1.59,7.33,-0.11,8.81
44712680005,GVRD0268,Comp 6,-53um,FEED,34.6,37.21,37.79,1.077,0.046,0.65,0.335,0.086,0.062,1.4,0.255,0.015,0.002,0.001,0.004,-0.001,-0.001,0.004,-0.001,0.006,0.003,0.001,0.001,0.001,0.004,0.5,4.36,-0.18,4.68
44712680006,GVRD0268,Comp 7,-53um,FEED,36.1,38.48,36.7,0.93,0.039,0.588,0.441,0.11,0.043,1.49,0.265,0.025,0.002,-0.001,0.004,0.001,-0.001,0.003,0.001,0.005,0.002,-0.001,0.001,0.001,0.007,0.13,4.07,-0.27,3.93
44712680007,GVRD0268,Comp 8,-53um,FEED,39.2,38.93,35.42,0.711,0.03,0.578,1.416,0.092,0.018,1.68,0.172,0.011,0.002,0.001,0.002,-0.001,-0.001,0.004,-0.001,0.003,0.002,-0.001,-0.001,0.001,0.005,-0.05,3.24,0.65,3.84
44712680008,GVRD0268,Comp 9,-53um,FEED,35.7,36.1,36.46,0.932,0.036,0.609,1.611,0.111,0.047,2.26,0.113,0.018,0.001,0.001,0.004,-0.001,-0.001,0.005,-0.001,0.003,0.002,-0.001,-0.001,0.001,0.005,0.05,4.99,0.75,5.79
44712680009,GVRD0268,Comp 2,-45um,FEED,28.54,35.48,38.18,0.94,0.041,0.58,0.452,0.11,0.041,1.48,0.295,0.006,0.002,0.001,0.003,-0.001,-0.001,0.006,-0.001,0.012,0.01,-0.001,-0.001,0.002,0.005,1.5,5.43,-0.2,6.73
44712680010,GVRD0268,Comp 3,-45um,FEED,31.6,35.2,38.5,0.928,0.039,0.617,0.404,0.096,0.135,1.56,0.185,0.013,0.002,0.001,0.001,-0.001,-0.001,0.004,-0.001,0.006,0.004,-0.001,-0.001,0.002,0.006,1.53,5.32,-0.04,6.81
44712680011,GVRD0268,Comp 4,-45um,FEED,37.1,37.13,37.95,1.345,0.059,0.613,0.315,0.084,0.081,1.55,0.1,0.008,0.002,0.001,0.003,-0.001,-0.001,0.003,0.001,0.01,0.008,0.001,-0.001,0.001,0.004,0.46,4.21,-0.25,4.42
44712680012,GVRD0268,Comp 5,-45um,FEED,25.9,33.56,37.73,1.723,0.073,0.525,0.395,0.093,0.091,2.24,0.012,0.02,0.003,-0.001,0.002,-0.001,0.001,0.003,0.001,0.013,0.008,-0.001,-0.001,0.002,0.005,1.75,7.11,-0.13,8.73
44712680013,GVRD0268,Comp 6,-45um,FEED,34.3,37.41,37.48,1.065,0.048,0.656,0.35,0.088,0.062,1.41,0.25,0.02,0.002,0.002,0.002,0.001,-0.001,0.004,-0.001,0.008,0.004,-0.001,-0.001,0.001,0.005,0.51,4.36,-0.2,4.67
44712680014,GVRD0268,Comp 7,-45um,FEED,36.9,38.5,36.65,0.944,0.04,0.596,0.433,0.108,0.042,1.51,0.271,0.008,0.002,-0.001,0.004,0.001,-0.001,0.004,-0.001,0.005,0.004,-0.001,-0.001,0.002,0.004,0.1,4.05,-0.2,3.95
