,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
27,5-44710168,,0.5,42,4,4,23,,,,,26,,,,,,,,100,Tr,N9774XD21,44710168 NSRD0798 Comp 7 -45um DTR Tails,5-44710168,NSRD0798-F-7,NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916,,,,
28,13-44710176,,0.5,42,4,4,23,,,,,26,,,,,,,,100,Tr,N9774XD21,44710176 NSRD0798 Comp 7 -38um DTR Tails,13-44710176,NSRD0798-F-7,NSRD0798-F-7,Tails,20.11,52.05,2.37,0.1,0.51,1.48,0.12,0.14,2.96,0.58,0.14,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.2,1.39,8.07,0.89,10.35,30.94,28.916,,,,
29,14-087,0.5,,40,4,3,,22,,,,30,,,,,,,,100,Tr,N9741XD21,44710087 NSRD0798 Comp 8 -53um DTR Tails,14-087,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
30,6-44710169,,1,41,3,2,24,,,,,29,,,,,,,,100,Tr,N9774XD21,44710169 NSRD0798 Comp 8 -45um DTR Tails,6-44710169,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
31,14-44710177,,0.5,41,3,2,24,,,,,28,,,,,,,,100,Tr,N9774XD21,44710177 NSRD0798 Comp 8 -38um DTR Tails,14-44710177,NSRD0798-F-8,NSRD0798-F-8,Tails,20.43,51.88,2.44,0.1,0.53,1.16,0.15,0.11,2.96,0.63,0.15,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,1.1,1.47,8.07,0.47,10.01,30.69,28.104,,,,
32,15-088,0.5,,33,5,6,,21,,,,34,,,,,,,,100,Tr,N9741XD21,44710088 NSRD0798 Comp 9 -53um DTR Tails,15-088,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
33,7-44710170,,1,33,4,5,23,,,,,33,,,,,,,,100,Tr,N9774XD21,44710170 NSRD0798 Comp 9 -45um DTR Tails,7-44710170,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
34,15-44710178,,,35,4,5,24,,,,,32,,,,,,,,100,Tr,N9774XD21,44710178 NSRD0798 Comp 9 -38um DTR Tails,15-44710178,NSRD0798-F-9,NSRD0798-F-9,Tails,22.3,47.48,3.09,0.14,0.45,1.7,0.14,0.25,3.02,0.75,0.16,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.16,8.04,1.03,10.23,33.95,32.539,,,,
35,16-089,0.5,,41,6,8,,14,,,,30,,,,,,,,100,Tr,N9741XD21,44710089 NSRD0798 Comp 10 -53um DTR Tails,16-089,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
36,8-44710171,,,44,6,8,16,,,,,27,,,,,,,,100,Tr,N9774XD21,44710171 NSRD0798 Comp 10 -45um DTR Tails,8-44710171,NSRD0798-F-10,NSRD0798-F-10,Tails,18.6,53.1,3.05,0.13,0.45,2.66,0.15,0.19,2.97,0.72,0.15,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,1,1.08,6.13,2,9.21,30.23,28.391,,,,
