,Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID,Sample_ID,Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g,,,,
119,48-44710293,90,,6,1,,1,,,0.5,,,,,,,1,,,100,Tr,N9821XD21,NSRD0799 Comp 14 -53um DTR Cons,48-44710293,NSRD0799-F-14,NSRD0799-F-14,Cons,65.42,7.19,0.69,0.06,0.05,0.1,0.01,0.01,0.38,0.3,0.02,0.01,0,0,0,0,0.01,0.02,0.18,0.01,0,0,0,0,83.46,-0.25,-0.78,-1.32,-2.35,44.96,7.697,,,,
120,49-44710294,91,,4,2,,1,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0799 Comp 16 -53um DTR Cons,49-44710294,NSRD0799-F-16,NSRD0799-F-16,Cons,66.06,6.13,0.65,0.07,0.04,0.07,0.01,0.02,0.38,0.22,0.02,0.01,0,0,0,0,0.01,0.02,0.21,0.01,0,0,0,0,84.99,-0.26,-0.75,-1.35,-2.36,44.46,7.805,,,,
121,50-44710295,86,,7,2,,2,,,0.5,,,,,,,2,,,100,Tr,N9821XD21,NSRD0799 Comp 17 -53um DTR Cons,50-44710295,NSRD0799-F-17,NSRD0799-F-17,Cons,65.09,7.66,0.71,0.06,0.05,0.1,0.01,0.02,0.38,0.28,0.02,0.01,0,0,0,0,0.02,0.01,0.14,0.01,0,0,0,0,85.6,-0.24,-0.72,-1.36,-2.32,47,7.682,,,,
122,51-44710296,88,0.5,9,0.5,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 4 -53um DTR Cons,51-44710296,NSRD0800-F-4,NSRD0800-F-4,Cons,64.78,8.33,0.38,0.03,0.07,0.1,0.02,0.01,0.31,0.19,0.03,0,0,0,0,0.01,0.01,0,0.04,0.01,0,0,0,0.01,81.6,-0.62,-1.27,-0.38,-2.27,43.99,14.505,,,,
123,52-44710297,88,,7,2,,2,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 5 -53um DTR Cons,52-44710297,NSRD0800-F-5,NSRD0800-F-5,Cons,64.02,8.69,0.65,0.05,0.07,0.11,0.02,0.04,0.42,0.26,0.03,0.01,0,0,0,0.01,0.02,0.01,0.09,0.01,0,0,0,0.01,83.3,-0.68,-1.18,-0.29,-2.15,42.16,10.796,,,,
124,53-44710298,89,,7,2,,0.5,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 6 -53um DTR Cons,53-44710298,NSRD0800-F-6,NSRD0800-F-6,Cons,64.44,7.94,0.81,0.07,0.04,0.1,0.01,0.02,0.45,0.27,0.03,0.01,0,0,0,0,0.01,0.01,0.15,0.01,0,0,0,0,81.4,-0.75,-1.23,-0.25,-2.23,45.16,6.511,,,,
125,54-44710299,89,,6,2,,2,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0800 Comp 8 -53um DTR Cons,54-44710299,NSRD0800-F-8,NSRD0800-F-8,Cons,64.92,6.92,0.74,0.07,0.06,0.08,0.01,0.02,0.48,0.21,0.02,0.02,0,0,0,0,0.01,0.02,0.26,0.01,0,0,0,0.01,81.8,-0.55,-1.22,-0.2,-1.97,43.74,5.271,,,,
126,55-44710300,90,,6,2,,1,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 11 -53um DTR Cons,55-44710300,NSRD0800-F-11,NSRD0800-F-11,Cons,65.24,7.45,0.59,0.05,0.05,0.07,0.01,0.02,0.38,0.25,0.01,0.01,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0.01,83.7,-0.86,-1.17,-0.34,-2.37,44.62,12.142,,,,
127,56-44710301,93,,6,0.5,,,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0800 Comp 15 -53um DTR Cons,56-44710301,NSRD0800-F-15,NSRD0800-F-15,Cons,65.22,7.33,0.66,0.05,0.05,0.09,0.01,0.02,0.34,0.37,0.02,0.01,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0.01,85.4,-0.93,-1.11,-0.37,-2.41,43.2,13.593,,,,
128,57-44710302,88,6,4,0.5,,0.5,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0801 Comp 3 -53um DTR Cons,57-44710302,NSRD0801-F-3,NSRD0801-F-3,Cons,67.86,4.61,0.3,0.02,0.03,0.11,0.01,0.01,0.18,0.15,0,0,0,0,0,0,0,0.01,0.05,0.01,0,0,0,0,84.4,-0.4,-0.97,-1.21,-2.58,42.45,12.338,,,,
129,58-44710303,94,0.5,4,0.5,,0.5,,,,,,,,,,0.5,,,100,Tr,N9821XD21,NSRD0801 Comp 4 -53um DTR Cons,58-44710303,NSRD0801-F-4,NSRD0801-F-4,Cons,67.94,4.52,0.31,0.03,0.03,0.12,0.01,0.01,0.18,0.16,0.01,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0,0,0,0,89,-0.41,-1.06,-1.22,-2.69,42.63,12.924,,,,
130,59-44710304,92,,5,1,,1,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 5 -53um DTR Cons,59-44710304,NSRD0801-F-5,NSRD0801-F-5,Cons,67.39,5.2,0.31,0.03,0.03,0.11,0.01,0.01,0.23,0.13,0.02,0,0,0,0,0,0.01,0.01,0.06,0.01,0,0,0,0,88.4,-0.38,-0.91,-1.3,-2.59,44.34,9.995,,,,
131,60-44710305,93,,3,0.5,,1,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 6 -53um DTR Cons,60-44710305,NSRD0801-F-6,NSRD0801-F-6,Cons,67.88,4.15,0.37,0.04,0.04,0.12,0.01,0.01,0.29,0.09,0.01,0,0,0,0,0,0,0.01,0.12,0.01,0,0,0,0,89.2,-0.32,-0.81,-1.31,-2.44,45.23,5.514,,,,
132,61-44710306,94,,4,0.5,,0.5,,,,,,,,,,1,,,100,Tr,N9821XD21,NSRD0801 Comp 7 -53um DTR Cons,61-44710306,NSRD0801-F-7,NSRD0801-F-7,Cons,67.57,4.69,0.36,0.04,0.03,0.12,0.02,0.02,0.3,0.08,0.02,0,0,0,0,0,0,0.01,0.09,0.01,0,0,0,0,88.6,-0.33,-1.04,-1.17,-2.54,44.86,4.883,,,,
133,62-44710307,93,,3,0.5,,0.5,,,,,,,,,,2,,,100,Tr,N9821XD21,NSRD0801 Comp 8 -53um DTR Cons,62-44710307,NSRD0801-F-8,NSRD0801-F-8,Cons,67.9,4.35,0.35,0.03,0.03,0.14,0.02,0.01,0.3,0.13,0.04,0,0,0,0,0,0,0.01,0.05,0.01,0,0,0,0,89.4,-0.42,-1,-1.23,-2.65,43.82,11.261,,,,
134,63-44710308,67,23,7,0.5,,2,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 2 -53um DTR Cons,63-44710308,NSRD0796-F-2,NSRD0796-F-2,Cons,65.29,6.99,0.2,0.02,0.09,0.05,0.02,0.01,0.27,0.05,0.01,0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0,63.1,-0.13,-0.32,-0.75,-1.2,36.64,15.455,,,,
135,64-44710309,87,0.5,9,1,,2,,,0.5,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 3 -53um DTR Cons,64-44710309,NSRD0796-F-3,NSRD0796-F-3,Cons,63.97,9.39,0.36,0.03,0.09,0.09,0.02,0.01,0.37,0.14,0.01,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,84.1,-0.26,-0.69,-1.03,-1.98,41.07,17.562,,,,
136,65-44710310,89,,8,0.5,,3,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 4 -53um DTR Cons,65-44710310,NSRD0796-F-4,NSRD0796-F-4,Cons,65.37,7.77,0.21,0.02,0.09,0.09,0.02,0.01,0.29,0.06,0.02,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,86.4,-0.3,-0.73,-1.22,-2.25,40.92,17.233,,,,
137,66-44710311,86,,8,1,,4,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 5 -53um DTR Cons,66-44710311,NSRD0796-F-5,NSRD0796-F-5,Cons,64.38,8.4,0.28,0.02,0.11,0.1,0.02,0.01,0.39,0.08,0.01,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,84.7,-0.26,-0.25,-1.15,-1.66,43.26,15.829,,,,
138,67-44710312,90,,6,,,4,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 6 -53um DTR Cons,67-44710312,NSRD0796-F-6,NSRD0796-F-6,Cons,66.67,5.51,0.18,0.02,0.09,0.09,0.02,0.01,0.28,0.06,0.04,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,86.8,-0.29,-0.39,-1.07,-1.75,40.02,12.35,,,,
139,68-44710313,88,0.5,8,,,3,,,,,,,,,,,,,100,Tr,N9821XD21,NSRD0796 Comp 7 -53um DTR Cons,68-44710313,NSRD0796-F-7,NSRD0796-F-7,Cons,64.57,8.44,0.24,0.02,0.1,0.09,0.02,0.01,0.3,0.07,0.05,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,84.9,-0.31,-0.42,-1.07,-1.8,40.07,15.442,,,,
140,69-44710314,89,3,6,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 4 -53um DTR Cons,69-44710314,GVRD0267-F-4,GVRD0267-F-4,Cons,66.74,6.3,0.14,0.02,0.07,0.07,0.02,0.01,0.21,0.02,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,86.58,-0.35,-0.64,-1.19,-2.18,45,12.61,,,,
141,70-44710315,89,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0267 Comp 5 -53um DTR Cons,70-44710315,GVRD0267-F-5,GVRD0267-F-5,Cons,66.32,6.54,0.18,0.02,0.06,0.09,0.02,0.01,0.21,0.01,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,88.29,-0.34,-0.73,-1.21,-2.28,45.81,12.39,,,,
142,71-44710316,91,1,6,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 6 -53um DTR Cons,71-44710316,GVRD0267-F-6,GVRD0267-F-6,Cons,66.85,5.97,0.12,0.02,0.06,0.07,0.01,0.01,0.2,0.01,0.02,0,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0,88.29,-0.37,-0.72,-1.2,-2.29,48.65,11.83,,,,
143,72-44710317,93,2,4,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 7 -53um DTR Cons,72-44710317,GVRD0267-F-7,GVRD0267-F-7,Cons,68.06,4.64,0.08,0.01,0.05,0.07,0.01,0.01,0.17,0.01,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,89.61,-0.44,-0.89,-1.19,-2.52,46.79,11.7,,,,
144,73-44710318,93,0.5,5,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0267 Comp 8 -53um DTR Cons,73-44710318,GVRD0267-F-8,GVRD0267-F-8,Cons,67.23,5.71,0.1,0.02,0.06,0.08,0.02,0.01,0.18,0.02,0.01,0,0,0.01,0,0,0.01,0,0.03,0.01,0,0,0,0.01,88.47,-0.42,-0.73,-1.23,-2.38,47.88,13.59,,,,
145,74-44710319,90,,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0267 Comp 9 -53um DTR Cons,74-44710319,GVRD0267-F-9,GVRD0267-F-9,Cons,66.38,6.14,0.17,0.02,0.08,0.08,0.02,0.01,0.25,0.02,0.01,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,89.23,-0.34,-0.56,-1.22,-2.12,47.07,10.92,,,,
146,75-44710320,87,4,7,,,2,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 2 -53um DTR Cons,75-44710320,GVRD0268-F-2,GVRD0268-F-2,Cons,66.27,6.94,0.09,0.02,0.07,0.07,0.02,0,0.16,0.03,0,0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0,81.82,-0.44,-0.79,-1.06,-2.29,43.03,13.479,,,,
147,76-44710321,92,1,6,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 3 -53um DTR Cons,76-44710321,GVRD0268-F-3,GVRD0268-F-3,Cons,67.18,5.78,0.09,0.02,0.07,0.07,0.02,0.01,0.16,0.02,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,86.3,-0.43,-0.89,-1.11,-2.43,44.07,14.304,,,,
148,77-44710322,90,0.5,7,,,1,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0268 Comp 4 -53um DTR Cons,77-44710322,GVRD0268-F-4,GVRD0268-F-4,Cons,66.58,6.59,0.15,0.02,0.08,0.06,0.02,0.01,0.17,0.01,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,86.6,-0.43,-0.98,-1.01,-2.42,41.11,16.706,,,,
149,78-44710323,90,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0268 Comp 5 -53um DTR Cons,78-44710323,GVRD0268-F-5,GVRD0268-F-5,Cons,66.7,5.93,0.18,0.03,0.07,0.07,0.02,0.01,0.24,0,0.01,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,88.2,-0.31,-0.61,-1.14,-2.06,42.48,11.493,,,,
150,79-44710324,90,2,7,,,1,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 6 -53um DTR Cons,79-44710324,GVRD0268-F-6,GVRD0268-F-6,Cons,66.35,6.88,0.12,0.01,0.09,0.07,0.02,0,0.16,0.03,0.01,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,87.2,-0.46,-0.91,-1.02,-2.39,42.44,15.998,,,,
151,80-44710325,90,3,7,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 7 -53um DTR Cons,80-44710325,GVRD0268-F-7,GVRD0268-F-7,Cons,66.5,6.75,0.12,0.02,0.07,0.08,0.02,0,0.18,0.03,0.01,0,0,0,0,0.01,0,0,0.02,0.01,0,0,0,0,86.1,-0.5,-1.04,-0.96,-2.5,46.07,16.841,,,,
152,81-44710326,93,2,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 8 -53um DTR Cons,81-44710326,GVRD0268-F-8,GVRD0268-F-8,Cons,68.56,4.31,0.07,0.01,0.06,0.1,0.02,0,0.13,0.02,0.01,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,90.5,-0.6,-1.29,-0.98,-2.87,43.89,17.327,,,,
153,82-44710327,94,1,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0268 Comp 9 -53um DTR Cons,82-44710327,GVRD0268-F-9,GVRD0268-F-9,Cons,68.42,4.37,0.08,0.02,0.05,0.1,0.02,0,0.16,0.01,0,0,0,0,0,0.01,0,0,0.02,0.02,0,0,0,0,91.5,-0.53,-1.18,-1.08,-2.79,47.66,15.75,,,,
154,83-44710328,79,13,6,,,0.5,,,,,,,,,,,1,,100,Tr,N9821XD21,GVRD0269 Comp 2 -53um DTR Cons,83-44710328,GVRD0269-F-2,GVRD0269-F-2,Cons,66.77,5.67,0.2,0.02,0.08,0.08,0.03,0.01,0.2,0.02,0.01,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,77.48,-0.25,-0.86,-0.92,-2.03,44.81,15.94,,,,
155,84-44710329,90,2,5,,,2,,,,,,,,,,,1,,100,Tr,N9821XD21,GVRD0269 Comp 3 -53um DTR Cons,84-44710329,GVRD0269-F-3,GVRD0269-F-3,Cons,67.24,4.98,0.21,0.04,0.07,0.1,0.03,0.02,0.28,0.03,0.01,0,0,0.01,0,0,0,0.01,0.04,0.01,0,0,0,0,87.91,-0.23,-0.66,-1.32,-2.21,43.33,13.096,,,,
156,85-44710330,89,1,6,,,2,,,,,,,,,,,2,,100,Tr,N9821XD21,GVRD0269 Comp 4 -53um DTR Cons,85-44710330,GVRD0269-F-4,GVRD0269-F-4,Cons,66.14,6.38,0.21,0.03,0.09,0.1,0.03,0.01,0.26,0,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0.01,88.29,-0.28,-0.52,-1.33,-2.13,44.27,14.919,,,,
157,86-44710331,88,0.5,7,,,2,,,,,,,,,,,3,,100,Tr,N9821XD21,GVRD0269 Comp 5 -53um DTR Cons,86-44710331,GVRD0269-F-5,GVRD0269-F-5,Cons,65.71,7.23,0.24,0.04,0.09,0.08,0.02,0.01,0.24,0.02,0.01,0,0,0.01,0,0,0.01,0,0.03,0.01,0,0,0,0,86.2,-0.2,-0.66,-1.3,-2.16,47.62,15.699,,,,
158,87-44710332,93,2,4,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 6 -53um DTR Cons,87-44710332,GVRD0269-F-6,GVRD0269-F-6,Cons,68.79,3.82,0.11,0.02,0.05,0.09,0.02,0.01,0.14,0.04,0.01,0,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0,89.42,-0.4,-1.09,-1.31,-2.8,45.02,15.869,,,,
159,88-44710333,92,2,5,,,0.5,,,,,,,,,,,,,100,Tr,N9821XD21,GVRD0269 Comp 7 -53um DTR Cons,88-44710333,GVRD0269-F-7,GVRD0269-F-7,Cons,67.5,5.26,0.13,0.02,0.07,0.1,0.02,0.01,0.18,0.05,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,90.56,-0.39,-1.04,-1.28,-2.71,46.48,16.657,,,,
160,7-0040,27,3,40,4,6,12,0.5,,0.5,3,5,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 3 -53um DTR Feed,7-0040,NSRD0801-F-3,NSRD0801-F-3,Feed,30.81,42.32,2.31,0.1,0.27,1.83,0.11,0.16,2.04,0.85,0.07,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,26,0.26,4.52,0.86,5.64,33.76,39.97,,,,
161,8-0041,28,1,38,4,7,12,0.5,,0.5,2,6,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 4 -53um DTR Feed,8-0041,NSRD0801-F-4,NSRD0801-F-4,Feed,31.65,41.29,1.87,0.08,0.36,1.99,0.11,0.16,1.92,0.7,0.06,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,28.4,0.26,4.68,0.99,5.93,29.1,40.01,,,,
162,9-0042,23,1,39,5,5,14,0.5,0.5,0.5,0.5,10,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 5 -53um DTR Feed,9-0042,NSRD0801-F-5,NSRD0801-F-5,Feed,29.17,43.79,2.5,0.1,0.31,1.49,0.11,0.29,2.32,0.81,0.08,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,22.3,0.28,5.27,0.66,6.21,30.47,39.95,,,,
163,10-0043,12,,33,9,6,17,2,0.5,0.5,4,16,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 6 -53um DTR Feed,10-0043,NSRD0801-F-6,NSRD0801-F-6,Feed,25.38,44.2,3.76,0.15,0.37,1.8,0.12,0.47,3.06,1.08,0.1,0,0,0,0,0,0.01,0,0.03,0.01,0,0,0,0.01,12.4,0.5,6.78,1.1,8.38,34.64,40.02,,,,
164,11-0044,11,,37,10,5,13,1,1,0.5,5,16,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 7 -53um DTR Feed,11-0044,NSRD0801-F-7,NSRD0801-F-7,Feed,23.43,48.14,4.38,0.18,0.29,1.54,0.12,0.7,2.96,1.25,0.1,0,0,0,0,0,0.01,0,0.04,0.01,0,0,0.01,0.01,11.6,0.44,5.23,1.16,6.83,36.96,39.95,,,,
165,12-0045,25,,34,5,5,14,0.5,0.5,0.5,2,13,,,,,,,,100,Tr,N9606XD21,NSRD0801 Comp 8 -53um DTR Feed,12-0045,NSRD0801-F-8,NSRD0801-F-8,Feed,30.42,40.93,2.38,0.1,0.32,1.88,0.11,0.13,2.69,0.81,0.09,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,24.6,0.38,5.36,0.99,6.73,30.55,40,,,,
166,13-0046,30,6,42,0.5,,21,,,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 2 -53um DTR Feed,13-0046,GVRD0268-F-2,GVRD0268-F-2,Feed,35.46,38.25,0.97,0.04,0.57,0.47,0.12,0.04,1.49,0.3,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,29.03,1.28,5.5,-0.19,6.59,31.55,40.06,,,,
167,14-0047,32,1,41,3,,22,,0.5,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 3 -53um DTR Feed,14-0047,GVRD0268-F-3,GVRD0268-F-3,Feed,35.11,38.62,0.96,0.04,0.61,0.42,0.1,0.13,1.55,0.19,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,31.4,1.4,5.38,-0.01,6.77,28.78,40.04,,,,
168,15-0048,37,2,40,5,,15,,0.5,,,,,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 4 -53um DTR Feed,15-0048,GVRD0268-F-4,GVRD0268-F-4,Feed,36.88,38.15,1.34,0.06,0.62,0.32,0.09,0.08,1.57,0.1,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,37.8,0.5,4.27,-0.21,4.56,28.13,40.03,,,,
169,16-0049,26,,41,8,,25,,,,,0.5,,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 5 -53um DTR Feed,16-0049,GVRD0268-F-5,GVRD0268-F-5,Feed,33.18,38.18,1.73,0.07,0.52,0.39,0.09,0.1,2.27,0.02,0.02,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,25.6,1.59,7.33,-0.11,8.81,27.61,40.02,,,,
170,17-0050,35,6,40,2,,16,,0.5,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 6 -53um DTR Feed,17-0050,GVRD0268-F-6,GVRD0268-F-6,Feed,37.21,37.79,1.08,0.05,0.65,0.34,0.09,0.06,1.4,0.26,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,34.6,0.5,4.36,-0.18,4.68,29.76,39.99,,,,
171,18-0051,38,7,39,1,,13,,,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 7 -53um DTR Feed,18-0051,GVRD0268-F-7,GVRD0268-F-7,Feed,38.48,36.7,0.93,0.04,0.59,0.44,0.11,0.04,1.49,0.27,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,36.1,0.13,4.07,-0.27,3.93,31.05,40,,,,
172,19-0052,39,6,38,2,5,9,,,0.5,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 8 -53um DTR Feed,19-0052,GVRD0268-F-8,GVRD0268-F-8,Feed,38.93,35.42,0.71,0.03,0.58,1.42,0.09,0.02,1.68,0.17,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,39.2,-0.05,3.24,0.65,3.84,32.46,39.99,,,,
173,20-0053,35,4,38,4,6,13,,,,,,0.5,,,,,,,100,Tr,N9606XD21,GVRD0268 Comp 9 -53um DTR Feed,20-0053,GVRD0268-F-9,GVRD0268-F-9,Feed,36.1,36.46,0.93,0.04,0.61,1.61,0.11,0.05,2.26,0.11,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,35.7,0.05,4.99,0.75,5.79,32.51,39.95,,,,
,NSD0037-1,41.3,0.8,25.5,0.5,0.1,18.9,,,,7.3,3.2,,1.4,,,,,,,,,,,,,,39.15,31.88,1.84,0.08,0.59,0.92,0.26,0.05,1.87,1.2,0.194,0.003,0,0,0.001,-0.001,0.017,0.005,0.021,0.006,0.001,0.001,0.003,0.009,42.2,,,,4.15,,,,,,
,NSD0037-2,15.4,2.1,44.3,1.6,6.9,24.6,,,,1,4.1,,,,,,,,,,,,,,,,25.2,46.59,0.72,0.03,1.07,1.8,0.15,0.02,2.66,0.36,0.121,0.003,0,0,0.002,0.001,0.006,-0.001,0.004,0.004,0.001,0.001,0.003,0.014,16.7,,,,10.24,,,,,,
,NSD0037-3,40.1,0.5,28.3,3.2,0.9,15.8,,,,6.4,4.9,,,,,,,,,,,,,,,,37.89,34.75,1.55,0.06,0.61,0.69,0.16,0.03,1.88,0.94,0.141,0.003,0,0,0.001,-0.001,0.013,0.002,0.019,0.007,0.001,0.001,0.003,0.008,39.4,,,,4.45,,,,,,
,NSD0037-4,50.1,0.6,23,5,0.5,8.3,,,,10.7,1.8,,,,,,,,,,,,,,,,42.36,31.86,2.13,0.07,0.37,0.15,0.03,0.01,1.28,1.55,0.062,0.003,0,0,0.002,-0.001,0.022,0.004,0.011,0.007,0.002,0.001,0.002,0.008,50.2,,,,1.66,,,,,,
,NSD0037-5,47.3,1,31.6,2.7,0,10.7,,,,5,1.7,,,,,,,,,,,,,,,,38.73,36.25,1.32,0.05,0.45,0.46,0.12,0.02,1.45,0.85,0.072,0.003,0,0,0.003,-0.001,0.012,0.002,0.01,0.005,0.001,0.002,0.003,0.009,42.8,,,,2.77,,,,,,
,NSD0037-6,34.4,1.3,41.3,2.4,0.7,13.8,,,,3.5,2.7,,,,,,,,,,,,,,,,32.1,44.32,1.09,0.05,0.55,0.66,0.14,0.01,1.87,0.59,0.078,0.002,0,0,0.001,-0.001,0.007,0.001,0.007,0.004,-0.001,-0.001,0.003,0.009,33,,,,4.31,,,,,,
,NSD0037-7,29.5,5.6,27.7,2.8,4.1,17.2,,,,5.6,5.6,,1.9,,,,,,,,,,,,,,33.86,35.55,1.78,0.08,0.62,2.5,0.63,0.2,2.14,0.93,0.206,0.004,0,0,0.003,0.003,0.016,0.003,0.031,0.007,0.001,-0.001,0.006,0.015,28.4,,,,5.46,,,,,,
,NSD0037-8,35.3,2.7,24.6,5.4,0.5,16.3,,,,7.5,5.9,,1.8,,,,,,,,,,,,,,35.39,33.48,2.32,0.1,0.58,2.06,0.61,0.21,2.3,1.16,0.232,0.004,0,0,0.004,0.003,0.019,0.003,0.031,0.009,0.001,0.001,0.005,0.013,33.2,,,,4.9,,,,,,
,NSD0037-9,32.7,2.6,44.9,3.7,0,10.7,,,,2.6,1.1,,1.8,,,,,,,,,,,,,,30.76,47.59,1.22,0.09,0.42,0.1,0.01,0.02,1.67,0.51,0.046,0.003,0,0,0.002,-0.001,0.008,0.003,0.007,0.005,0.001,0.002,0.003,0.009,30.4,,,,3.59,,,,,,
,NSD0037-10,12.9,0,3.5,11.6,1.6,0,,,,62.7,5.9,,1.8,,,,,,,,,,,,,,14.56,50.11,13.81,0.25,0.03,0.25,0.02,0,2.62,9.73,0.315,0.012,0,0,0.002,0.003,0.207,0.006,0.001,0.006,0.002,0.011,0.051,0.016,11.9,,,,1.64,,,,,,
,NSD0037-11,0.8,0,46.6,7.7,4.7,0,,,,25.5,13.4,,0.4,,,,,,,,,,,,,,7,72.6,6.32,0.07,0.04,0.68,0.04,0.75,2.6,4.1,0.256,0.011,0,0,0.004,0.003,0.062,0.004,0.005,0.006,0.002,0.005,0.015,0.011,1.55,,,,2.47,,,,,,
