BHID,Composite,CSS (µm),Process,Product,BV Report,Mineral,Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group - Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Total,Birnessite,Sample,CompositeID,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI,IDENT,FeO,Sample,Pyrite group,MnO,Dry Wt
GVRD0267,Comp 6,53,DTR,TAILS,N9821XD21,21-44710265,7.341962077123772,57.66558325425599,,0.0,,25.847902903750377,,2.1045188778458166,0.0,5.594010764872133,,1.4460221221519214,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 6 53 TAILS,-53um,TAILS,0.86,18.09,55.52,2.142,0.087,0.619,1.037,0.137,0.154,2.73,0.203,0.034,0.007,0.001,-0.001,0.008,0.001,0.004,0.002,0.011,0.003,0.001,-0.001,0.005,0.01,0.28,9.96,0.78,11.02,,,,,,
GVRD0267,Comp 7,53,DTR,TAILS,N9821XD21,22-44710266,3.8890337950534057,58.31321131826912,,0.0,,24.325895403030223,,2.770054845907451,0.0,9.434425414034589,,1.2673792237052202,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 7 53 TAILS,-53um,TAILS,1.11,19.48,54.83,1.39,0.065,0.599,1.199,0.153,0.123,2.39,0.195,0.022,0.004,0.001,0.004,0.007,-0.001,-0.001,-0.001,0.006,0.001,-0.001,-0.001,0.003,0.008,0.34,9.45,0.82,10.61,,,,,,
GVRD0267,Comp 8,53,DTR,TAILS,N9821XD21,23-44710267,3.718454073922456,59.97158338086262,,0.0,,26.154259855557125,,3.4209849749081656,0.0,5.6283012574813105,,1.1064164572683268,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 8 53 TAILS,-53um,TAILS,0.98,17.02,57.99,1.476,0.061,0.62,1.302,0.173,0.094,2.29,0.25,0.018,0.004,0.001,0.001,0.008,-0.001,0.003,-0.001,0.004,-0.001,-0.001,-0.001,0.004,0.011,0.21,9.83,0.88,10.92,,,,,,
GVRD0267,Comp 9,53,DTR,TAILS,N9821XD21,24-44710268,7.544170175532253,56.42207198803023,,0.0,,32.035067418515844,,2.3157069187292407,0.0,1.5870366670134968,,0.09594683217892938,,0.0,0.0,0.0,0.0,0.0,100.0,,,GVRD0267 Comp 9 53 TAILS,-53um,TAILS,0.98,17.8,53.24,2.084,0.082,0.679,0.946,0.119,0.463,2.98,0.173,0.015,0.005,0.001,0.003,0.008,-0.001,0.002,-0.001,0.012,0.007,-0.001,-0.001,0.004,0.009,0.24,11.49,1.12,12.85,,,,,,
GVRD0269,Comp 2,53,DTR,FEED,N9821XD21,25-44710269,4.175158964233093,41.882972679260156,,0.0,,11.065130092942072,,0.0,31.224192008338544,9.184870932750734,,0.0,,0.39814232020351115,2.0695330022718825,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 2 53 FEED,-53um,FEED,31.03,35.75,39.58,1.348,0.068,0.63,0.562,0.139,0.096,1.5,0.244,0.012,0.003,0.001,-0.001,-0.001,-0.001,0.004,0.008,0.009,-0.001,0.001,-0.001,0.003,0.005,0.25,3.65,-0.08,3.82,,,,,,
GVRD0269,Comp 3,53,DTR,FEED,N9821XD21,26-44710270,7.921781377789704,35.260310297062695,,0.0,,19.767837928422715,,0.0,27.899019109795983,1.4450266843382313,,0.0,,0.3897088625664752,0.0,0.0,7.316315740024195,0.0,100.0,,,GVRD0269 Comp 3 53 FEED,-53um,FEED,29.2,33.36,38.94,1.745,0.077,0.497,0.505,0.134,0.125,2.42,0.191,0.03,0.003,0.001,0.002,0.002,0.001,0.005,0.002,0.013,-0.001,-0.001,-0.001,0.004,0.009,0.16,7.08,-0.08,7.16,,,,,,
GVRD0269,Comp 4,53,DTR,FEED,N9821XD21,27-44710271,6.649827598911559,39.39680661910213,,0.0,,21.033989090631007,,0.0,30.03690862030834,1.1609577403817632,,0.0,,0.0,0.0,0.0,1.7215103306652109,0.0,100.0,,,GVRD0269 Comp 4 53 FEED,-53um,FEED,32.58,35.38,37.23,1.713,0.084,0.568,0.541,0.146,0.132,1.98,0.05,0.016,0.004,0.001,0.001,0.001,0.002,-0.001,0.002,0.015,0.007,0.002,-0.001,0.004,0.01,0.14,6.45,-0.12,6.47,,,,,,
GVRD0269,Comp 5,53,DTR,FEED,N9821XD21,28-44710272,6.276514755855521,40.16146005376404,,0.0,,15.793052471162921,,0.0,35.29917719929357,1.0397207919486071,,0.0,,0.4288384174192466,1.001236310556089,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 5 53 FEED,-53um,FEED,32.29,34.05,40.47,1.928,0.086,0.59,0.376,0.096,0.152,1.74,0.19,0.012,0.004,0.001,0.001,0.002,-0.001,0.004,0.002,0.024,0.015,-0.001,-0.001,0.003,0.006,0.16,5.12,-0.07,5.21,,,,,,
GVRD0269,Comp 6,53,DTR,FEED,N9821XD21,29-44710273,2.5514351988402817,39.14358120472751,,0.0,,12.086136268568408,,4.3330467092823985,36.72940963424353,4.45982114718296,,0.09159841355180696,,0.6049714236031019,0.0,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 6 53 FEED,-53um,FEED,34.41,35.17,38.85,1.033,0.048,0.602,1.275,0.113,0.047,1.76,0.309,0.014,0.003,0.001,0.019,0.001,-0.001,-0.001,-0.001,0.009,0.001,0.001,-0.001,0.003,0.008,-0.05,4.3,0.62,4.87,,,,,,
GVRD0269,Comp 7,53,DTR,FEED,N9821XD21,30-44710274,3.0382449497226984,37.02071546511829,,0.0,,11.09897072566786,,4.662410666480244,37.86615453576702,5.394155584831049,,0.09300168631308559,,0.826346386099771,0.0,0.0,0.0,0.0,100.0,,,GVRD0269 Comp 7 53 FEED,-53um,FEED,35.67,35.7,38.6,1.154,0.049,0.599,1.267,0.12,0.099,1.83,0.405,0.012,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.013,0.009,0.001,-0.001,0.003,0.009,-0.07,3.72,0.54,4.19,,,,,,
