Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
NSRD0801-F-7,Tails,17.28,54.44,4.93,0.2,0.32,1.7,0.13,0.77,3.26,1.37,0.14,0.01,0,0,0.01,0,0.01,0,0.03,0.02,0,0,0.01,0.01,0.7,0.6,5.88,1.46,7.94,29.99,35.067
NSRD0801-F-8,Tails,16.19,55.23,3.15,0.12,0.42,2.44,0.14,0.18,3.49,1.02,0.13,0.01,0,0,0.02,0,0.01,0,0.01,0.01,0,0,0,0.01,0.9,0.66,7.54,1.88,10.08,29.73,28.739
GVRD0267-F-4,Tails,20.18,51.59,1.75,0.07,0.61,1.08,0.15,0.15,2.51,0.2,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.86,1.9,9.68,0.54,12.12,27.88,27.46
GVRD0267-F-5,Tails,18.39,54.99,2.08,0.09,0.54,1.19,0.16,0.18,2.55,0.15,0.02,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.98,0.26,9.97,0.79,11.02,24.76,27.61
GVRD0267-F-6,Tails,18.09,55.52,2.14,0.09,0.62,1.04,0.14,0.15,2.73,0.2,0.03,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0.86,0.28,9.96,0.78,11.02,22.89,28.15
GVRD0267-F-7,Tails,19.48,54.83,1.39,0.07,0.6,1.2,0.15,0.12,2.39,0.2,0.02,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,1.11,0.34,9.45,0.82,10.61,21.65,28.31
GVRD0267-F-8,Tails,17.02,57.99,1.48,0.06,0.62,1.3,0.17,0.09,2.29,0.25,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.98,0.21,9.83,0.88,10.92,27.59,26.37
GVRD0267-F-9,Tails,17.8,53.24,2.08,0.08,0.68,0.95,0.12,0.46,2.98,0.17,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0.98,0.24,11.49,1.12,12.85,25.28,29.07
GVRD0268-F-2,Tails,18.9,55.55,1.44,0.06,0.81,0.68,0.16,0.07,2.12,0.45,0.03,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1.02,2.21,8.49,0.31,11.01,28.25,26.581
GVRD0268-F-3,Tails,16.99,57.71,1.44,0.06,0.88,0.6,0.14,0.2,2.22,0.29,0.01,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,1,2.54,8.49,0.57,11.6,27.26,25.736
